Year,State ID,State,Trade Value
2020,10,Durango," 7,640,667,946 "
2020,31,Yucatán," 5,550,490,571 "
2020,17,Morelos," 3,804,093,637 "
2020,32,Zacatecas," 3,412,495,085 "
2020,29,Tlaxcala," 3,356,027,181 "
2020,13,Hidalgo," 2,725,360,755 "
2020,6,Colima," 1,010,647,543 "
2020,27,Tabasco," 893,256,185 "
2020,3,Baja California Sur," 740,261,794 "
2020,23,Quintana Roo," 684,326,762 "
2020,7,Chiapas," 627,218,877 "
2020,20,Oaxaca," 436,874,434 "
2020,4,Campeche," 430,075,981 "
2020,18,Nayarit," 395,268,550 "
2020,33,No Informado," 37,887,951 "
2020,12,Guerrero," 27,419,197 "
2021,1,Aguascalientes,22085958468
2021,2,Baja California,2.26375E+11
2021,3,Baja California Sur,632732062
2021,4,Campeche,446372268
2021,5,Coahuila de Zaragoza,76773434125
2021,6,Colima,1395773975
2021,7,Chiapas,627662082
2021,8,Chihuahua,2.90683E+11
2021,9,Ciudad de México,5.72693E+11
2021,10,Durango,7485699899
2021,11,Guanajuato,67623253627
2021,12,Guerrero,41038118
2021,13,Hidalgo,2677660861
2021,14,Jalisco,1.5622E+11
2021,15,Estado de México,89165151869
2021,16,Michoacán de Ocampo,13652939395
2021,17,Morelos,4246574238
2021,18,Nayarit,385773417
2021,19,Nuevo León,2.38592E+11
2021,20,Oaxaca,324753998
2021,21,Puebla,65471137014
2021,22,Querétaro,65803249784
2021,23,Quintana Roo,799343856
2021,24,San Luis Potosí,37809299789
2021,25,Sinaloa,13848059354
2021,26,Sonora,51909369076
2021,27,Tabasco,749402099
2021,28,Tamaulipas,1.2528E+11
2021,29,Tlaxcala,4201019466
2021,30,Veracruz de Ignacio de la Llave,9160049083
2021,31,Yucatán,6984797130
2021,32,Zacatecas,2887080440
2021,33,No Informado,30299187
